term,Plot freq,Negative freq,Positive freq
crashing down,1,0,0
down on,1,0,0
on him,3,0,0
johnny,2,1,0
knoxville,1,1,0
jackass,2,3,3
johnny knoxville,1,1,0
knoxville and,1,0,0
his crazy,1,0,0
crazy friends,1,0,0
friends appear,1,0,0
appear on,1,0,0
screen for,1,0,0
the very,1,3,4
very first,1,0,0
in jackass,1,0,0
jackass the,2,1,1
the movie,3,124,78
wander,1,1,2
japan,1,0,0
panda,1,0,0
outfits,1,0,0
wreak,1,0,0
havoc,1,0,0
civilized,1,1,0
golf,1,0,0
stunts,1,9,6
alligators,1,0,0
they wander,1,0,0
wander around,1,0,0
around japan,1,0,0
japan in,1,0,0
in panda,1,0,0
panda outfits,1,0,0
outfits wreak,1,0,0
wreak havoc,1,0,0
havoc on,1,0,0
a once,1,0,0
once civilized,1,0,0
civilized golf,1,0,0
golf court,1,0,0
court they,1,0,0
they even,1,0,0
even do,1,1,0
do stunts,1,0,0
stunts involving,1,0,0
involving live,1,0,0
live alligators,1,0,0
alligators and,1,0,0
and so,1,5,3
so on,1,0,0
knoxvile,1,0,0
pals,1,0,0
risk,2,0,0
entertaining,2,13,58
while johnny,1,0,0
johnny knoxvile,1,0,0
knoxvile and,1,0,0
his pals,1,0,0
pals put,1,0,0
their life,2,0,0
life at,1,1,0
at risk,1,0,0
risk they,1,0,0
are entertaining,1,0,0
entertaining people,1,0,0
people at,1,0,0
get ready,1,1,0
ready for,1,1,0
for jackass,1,0,0
quincy,1,0,0
archibald,1,1,0
playing,3,10,3
baseball,1,0,0
john quincy,1,0,0
quincy archibald,1,0,0
archibald s,1,0,0
s son,1,0,0
son michael,2,0,0
michael collapses,1,0,0
collapses while,1,0,0
while playing,1,0,0
playing baseball,1,0,0
baseball as,1,0,0
heart failure,1,0,0
immediately,3,2,1
q,1,6,1
immediately john,1,0,0
john q,1,5,1
rushes,1,0,0
emergency,2,0,2
rushes michael,1,0,0
michael to,1,0,0
hospital s,1,0,0
s emergency,1,0,0
emergency room,2,0,1
room for,1,2,1
a transplant,1,0,0
would,4,72,33
the insurance,1,0,1
insurance would,1,0,0
would not,1,2,2
not cover,1,0,0
cover his,1,0,0
son s,1,0,0
s transplant,1,0,0
recovery,1,0,2
hostage,1,0,0
doctors,2,0,0
agree,1,0,0
so in,1,1,1
order for,1,0,0
for michael,1,0,0
michael s,1,0,0
s quick,1,0,0
quick and,1,0,1
and complete,1,0,0
complete recovery,1,0,0
recovery john,1,0,0
john takes,2,0,0
takes the,1,2,2
the emergency,1,0,0
room hostage,1,0,0
hostage until,1,0,0
the doctors,1,0,0
doctors agree,1,0,0
agree to,1,0,0
the transplant,1,0,0
transplant successful,1,0,0
singing,2,2,1
veggies,1,0,3
trouble,3,4,7
stranded,1,0,1
seafood,1,0,0
joint,2,1,0
quite,2,34,32
the singing,1,0,0
singing veggies,1,0,0
veggies encounter,1,0,0
encounter some,1,0,0
some car,1,0,0
car trouble,1,0,0
trouble they,1,0,0
re stranded,1,0,0
stranded at,1,0,0
at old,1,0,0
old rundown,1,0,0
rundown seafood,1,0,0
seafood joint,1,0,0
joint where,1,0,0
where nothing,1,1,0
is quite,1,2,1
quite as,1,1,0
as it,1,19,23
it seems,2,5,5
tomato,1,0,0
settle,2,4,1
wait,1,6,5
tow,1,0,0
truck,2,2,0
van,2,1,1
pirates,1,0,0
anything,3,26,12
jonah,5,5,2
as bob,1,0,0
bob the,1,0,0
the tomato,1,0,0
tomato and,1,0,0
the kids,1,4,3
kids settle,1,0,0
settle in,1,0,0
in to,2,1,1
to wait,1,0,0
wait for,1,2,2
a tow,1,0,0
tow truck,1,0,0
truck to,1,0,0
to help,1,0,0
help get,1,0,0
get their,2,0,0
their van,1,0,0
van back,1,0,0
back on,3,2,0
road the,1,0,0
the pirates,1,0,0
pirates who,1,0,0
who don,1,1,0
t do,1,6,2
do anything,1,1,0
anything share,1,0,0
share a,1,0,0
little story,1,0,1
story about,1,5,2
named jonah,1,0,0
kind,3,35,31
mailman,1,0,0
messages,1,4,1
came,1,3,2
god,1,4,4
jonah was,1,0,0
was kind,1,1,0
kind of,3,33,26
of like,1,1,1
a mailman,1,0,0
mailman except,1,0,0
except his,1,0,0
his messages,1,0,0
messages came,1,0,0
came straight,1,0,0
straight from,1,1,1
from god,1,0,0
deliver,1,5,4
message,1,14,9
nineveh,2,0,0
jonah loves,1,0,0
loves his,1,0,0
his job,2,0,0
job until,2,0,0
day comes,1,0,0
comes when,1,2,0
to deliver,1,0,1
deliver a,1,2,0
a message,1,1,0
message to,1,0,1
of nineveh,2,0,0
carrying,1,0,0
sail,1,0,0
direction,1,13,16
onboard,1,0,0
pirate,2,1,0
of carrying,1,0,0
carrying out,1,0,0
mission jonah,1,0,0
jonah turns,1,0,0
turns and,1,0,0
and sets,1,0,0
sets sail,1,0,0
sail in,1,0,0
the opposite,1,1,0
opposite direction,1,0,0
direction onboard,1,0,0
onboard a,1,0,0
a pirate,1,0,0
pirate ship,1,0,0
adventure,4,9,17
belly,1,2,4
whale,1,2,2
showdown,1,1,1
soon jonah,1,0,0
jonah embarks,1,0,0
an adventure,1,0,1
adventure that,1,1,0
leads him,2,0,0
him into,2,0,0
the belly,1,0,1
belly of,1,0,0
a whale,1,0,1
whale and,1,0,0
the heart,2,3,10
heart of,2,0,3
nineveh for,1,0,0
a hilarious,1,0,4
hilarious showdown,1,0,0
juwanna,3,4,0
mann,2,3,0
jamal,3,0,0
jeffries,1,0,0
miguel,1,0,0
juwanna mann,1,3,0
mann follows,1,0,0
of jamal,1,0,0
jamal jeffries,1,0,0
jeffries miguel,1,0,0
miguel a,1,0,0
nunez,1,0,0
jr,5,1,1
nunez jr,1,0,0
reigning,1,0,0
undisciplined,1,0,1
antics,1,1,3
league,2,2,1
any,4,62,55
prospects,1,0,0
the reigning,1,0,0
reigning bad,1,0,0
bad boy,2,1,0
boy of,2,0,0
of basketball,1,0,0
basketball whose,1,0,0
whose undisciplined,1,0,0
undisciplined on,1,0,0
on court,1,0,0
court antics,1,0,0
antics land,1,0,0
land him,1,0,0
the league,1,0,1
league and,1,0,0
and without,1,1,0
without any,1,2,0
any prospects,1,0,0
financially,1,0,0
strapped,1,0,0
untrained,1,0,2
dress,2,2,0
financially strapped,1,0,0
strapped and,1,0,0
and untrained,1,0,0
untrained in,1,0,1
in anything,1,0,1
anything but,1,4,3
but basketball,1,0,0
basketball jamal,1,0,0
jamal comes,1,0,0
comes up,1,1,0
plan so,1,0,0
so outrageous,1,0,0
outrageous it,1,0,0
just might,1,0,1
might work,1,0,0
work dress,1,0,0
dress up,2,1,0
up like,1,0,1
woman and,1,0,2
and try,1,0,0
try out,1,1,0
the woman,2,0,0
woman s,1,1,3
s basketball,1,0,0
basketball league,1,0,0
surprise,2,7,9
cease,1,0,0
his surprise,1,0,0
surprise he,1,0,0
he makes,1,1,1
makes it,1,4,7
it but,2,2,3
real challenge,1,0,0
challenge begins,1,0,0
to cease,1,0,0
cease being,1,0,0
being jamal,1,0,0
jamal and,1,0,0
and start,1,1,0
start new,1,0,0
new life,1,0,2
as juwanna,1,0,0
teammate,1,0,0
michelle,1,0,0
vivica,1,0,0
matters become,1,0,0
become even,1,0,0
even more,1,6,6
more complicated,1,1,0
complicated when,1,0,0
when juwanna,1,0,0
juwanna realizes,1,0,0
falling for,2,0,0
his teammate,1,0,0
teammate michelle,1,0,0
michelle vivica,1,0,0
vivica a,1,0,0
fox,1,0,1
shows,4,6,15
fox who,1,0,0
who shows,1,0,0
shows him,1,0,0
more to,1,2,3
to women,2,0,0
women than,1,0,0
than meets,2,0,0
meets the,3,0,0
the eye,2,1,3
ussr,1,0,0
ballistic,1,10,0
suffered,1,1,0
malfunction,1,0,0
reactor,1,0,0
maiden,1,0,0
voyage,1,0,0
atlantic,1,0,3
1961,1,0,0
of ussr,1,0,0
ussr s,1,0,0
s first,2,4,0
first nuclear,1,0,0
nuclear ballistic,1,0,0
ballistic submarine,1,0,0
submarine which,1,0,0
which suffered,1,0,0
suffered a,1,0,0
a malfunction,1,0,0
malfunction in,1,0,0
in its,2,25,36
its nuclear,1,0,0
nuclear reactor,1,0,0
reactor on,1,0,0
on its,1,14,11
its maiden,1,0,0
maiden voyage,1,0,0
voyage in,1,0,0
north atlantic,1,0,0
atlantic in,1,0,0
in 1961,1,0,0
unyielding,1,0,0
alexi,5,0,0
vostrikov,1,0,0
races,1,3,1
chernobyl,1,0,0
threatens,1,0,0
potential,3,6,10
ignite,1,1,0
super,2,4,3
submarine s,1,0,0
s crew,1,0,0
crew led,1,0,0
the unyielding,1,0,0
unyielding captain,1,0,0
captain alexi,1,0,0
alexi vostrikov,1,0,0
vostrikov races,1,0,0
races against,1,0,0
against time,1,0,0
time to,1,9,3
a chernobyl,1,0,0
chernobyl like,1,0,0
like nuclear,1,0,0
nuclear disaster,1,0,0
disaster which,1,0,0
which threatens,1,0,0
threatens not,1,0,0
his crew,1,0,1
crew but,1,0,0
has the,6,9,12
the potential,2,0,3
potential to,2,0,1
to ignite,1,1,0
ignite a,1,0,0
a world,6,0,4
war between,1,1,2
the super,2,1,0
super powers,1,0,0
website,1,0,0
designer,2,0,0
ops,1,6,2
comfortable,2,1,4
ordinary,1,4,2
nice,2,2,12
forms,2,0,1
dangerously,1,1,2
obsessive,3,0,2
mountaineer,1,0,0
london website,1,0,0
website designer,1,0,0
designer ops,1,0,0
ops out,1,0,0
her comfortable,1,0,0
comfortable but,1,0,0
but ordinary,1,0,0
ordinary relationship,1,0,0
a nice,2,0,5
nice boyfriend,1,0,0
boyfriend when,1,0,0
she forms,1,0,0
forms a,1,0,0
a dangerously,1,0,0
dangerously obsessive,1,0,0
obsessive bond,1,0,0
bond with,1,0,0
handsome mysterious,1,0,0
mysterious mountaineer,1,0,0
mountaineer who,1,0,0
who turns,1,0,0
some secrets,1,0,0
chronicle,2,1,0
scenes,4,28,24
stormy,2,1,0
collaboration,1,1,2
iconoclastic,1,0,1
dance,1,1,8
pilobolus,2,0,0
illustrator,1,0,0
maurice,1,0,0
sendak,2,1,0
a chronicle,2,0,0
chronicle which,1,0,0
which goes,1,0,0
goes behind,1,0,0
the scenes,1,1,3
scenes on,1,0,0
a stormy,1,0,0
stormy collaboration,1,0,0
collaboration between,1,0,0
the iconoclastic,1,0,0
iconoclastic dance,1,0,0
dance company,1,0,0
company pilobolus,1,0,0
pilobolus and,1,0,0
and legendary,1,0,0
legendary author,1,0,0
author illustrator,1,0,0
illustrator maurice,1,0,0
maurice sendak,1,0,0
months,3,1,1
improv,1,0,0
transform,1,0,0
haunting,1,1,9
disturbing,2,2,6
theater,2,20,11
piece,5,11,24
over months,1,0,0
months of,1,0,0
of improv,1,0,0
improv work,1,0,0
work in,1,4,7
studio they,1,0,0
they transform,1,0,0
transform a,1,0,0
a haunting,1,0,3
haunting holocaust,1,0,0
holocaust legacy,1,0,0
legacy into,1,0,0
a disturbing,1,1,2
disturbing theater,1,0,0
theater piece,1,1,0
weaves,1,0,2
verite,1,0,0
rehearsal,1,0,0
interviews,3,0,1
footage,2,5,4
performances,2,18,49
revelation,2,1,4
the documentary,1,0,1
documentary weaves,1,0,0
weaves verite,1,0,0
verite rehearsal,1,0,0
rehearsal interviews,1,0,0
interviews rare,1,0,0
rare holocaust,1,0,0
holocaust footage,1,0,0
footage and,1,1,0
and performances,1,0,0
performances into,1,0,0
a revelation,1,0,0
revelation of,1,0,0
creative process,2,1,2
wide,1,3,3
digibeta,1,0,0
kitchen,1,0,0
yorinks,1,0,0
directors,1,6,5
robby,1,0,0
barnett,1,0,0
tracy,1,0,0
wolken,1,0,0
tenacity,2,0,1
wit,2,12,8
shot on,1,1,1
on wide,1,0,0
wide screen,1,0,0
screen digibeta,1,0,0
digibeta sendak,1,0,0
sendak with,1,0,0
his night,1,0,0
night kitchen,1,0,0
kitchen theater,1,0,0
theater partner,1,0,0
partner arthur,1,0,0
arthur yorinks,1,0,0
yorinks and,1,0,0
and pilobolus,1,0,0
pilobolus artistic,1,0,0
artistic directors,1,0,0
directors robby,1,0,0
robby barnett,1,0,0
barnett michael,1,0,0
michael tracy,1,0,0
tracy and,1,0,0
and jonathan,1,0,0
jonathan wolken,1,0,0
wolken shows,1,0,0
shows us,1,0,1
us the,1,2,1
the tenacity,1,0,0
tenacity and,1,0,1
and wit,1,0,1
wit that,1,0,0
that drive,1,0,0
drive the,1,0,0
process when,1,0,0
when serious,1,0,0
serious artists,1,0,0
artists work,1,0,0
work together,2,0,0
leela,6,0,0
asian,2,0,0
leela is,3,0,0
film based,1,0,0
south asian,2,0,0
asian american,2,0,0
american experience,1,0,0
providing,1,1,4
dynamic,1,1,2
expression,1,1,0
celebrations,1,0,0
expatriate,2,0,0
lifestyle,1,1,1
crossover,1,0,0
asians,1,0,0
mainstream,2,4,8
english,2,2,2
speaking,1,0,3
audiences,1,6,8
by providing,1,0,1
providing a,1,0,0
a dynamic,1,0,0
dynamic expression,1,0,0
expression of,1,0,0
the struggles,1,0,0
struggles and,1,0,0
and celebrations,1,0,0
celebrations of,1,0,0
the expatriate,1,0,0
expatriate lifestyle,1,0,0
lifestyle leela,1,0,0
leela has,1,0,0
a crossover,1,0,0
crossover film,1,0,0
film popular,1,0,0
popular among,1,0,0
among expatriate,1,0,0
expatriate south,1,0,0
south asians,1,0,0
asians and,1,0,0
and mainstream,1,0,0
mainstream english,1,0,0
english speaking,1,0,0
speaking audiences,1,0,0
audiences the,1,0,0
world over,1,0,0
reflection,1,1,3
community,2,5,5
beginning,2,4,5
emerge,1,1,1
blend,2,0,11
influence,2,0,0
exquisite,1,2,0
true reflection,1,0,0
reflection of,1,0,0
of how,1,4,6
how the,1,1,2
american community,1,0,0
community is,1,0,0
is beginning,1,0,1
beginning to,1,2,3
to emerge,1,1,1
emerge blend,1,0,0
blend and,1,0,1
and influence,1,0,0
influence the,1,0,0
the mainstream,1,1,2
mainstream american,1,0,2
american culture,1,0,1
culture in,1,0,1
its own,1,26,22
own exquisite,1,0,0
exquisite ways,1,0,0
aware,1,1,7
liberal,1,2,1
independence,1,0,0
of leela,1,0,0
leela an,1,0,0
an aware,1,0,0
aware liberal,1,0,0
liberal woman,1,0,0
who struggles,1,0,0
true meaning,1,0,0
of independence,1,0,0
krishna,1,0,0
born,2,0,4
indian,2,0,2
uncomfortable,1,0,1
hyphenated,1,0,0
is also,3,1,5
of krishna,1,0,0
krishna born,1,0,0
born of,1,0,0
of indian,2,0,0
indian parents,1,0,0
parents in,1,0,1
in america,1,1,2
america but,1,0,0
but uncomfortable,1,0,0
uncomfortable with,1,0,0
his hyphenated,1,0,0
hyphenated existence,1,0,0
universal,1,3,2
cross,2,3,5
pause,1,1,0
moving,2,7,14
leela then,1,0,0
then is,1,0,0
a universal,1,1,0
universal story,1,0,0
of two,3,1,3
two paths,1,0,0
paths that,1,0,0
that cross,1,0,0
cross each,1,0,0
and pause,1,0,0
pause a,1,0,0
a moment,2,1,1
moment before,1,0,0
before moving,1,0,0
moving on,1,0,0
reporter,3,0,0
lanie,1,1,0
kerrigan,1,1,0
jolie,1,3,4
psychic,2,0,0
homeless,1,0,0
shalhoub,1,0,0
fluff,1,5,1
football,1,1,1
score,1,2,12
a reporter,2,0,0
reporter lanie,1,0,0
lanie kerrigan,1,0,0
kerrigan jolie,1,0,0
jolie interviews,1,0,0
interviews a,1,0,0
a psychic,1,0,0
psychic homeless,1,0,0
homeless man,1,0,0
man shalhoub,1,0,0
shalhoub for,1,0,0
a fluff,1,0,0
fluff piece,1,0,0
piece about,1,0,1
a football,1,0,0
football game,1,0,0
game s,1,0,0
s score,1,0,0
sparks,1,2,2
pattern,1,0,0
instead he,1,0,0
he tells,2,0,1
tells her,1,0,0
her that,2,0,0
that her,2,2,0
no meaning,1,0,0
meaning and,1,1,0
is going,3,5,2
to end,2,1,4
end in,1,0,0
few days,1,0,0
days which,1,0,0
which sparks,1,0,0
sparks her,1,0,0
her to,3,0,0
action trying,1,0,0
to change,3,2,0
change the,1,3,0
the pattern,1,0,0
pattern of,1,0,0
orphanage,1,0,0
shoes,3,0,1
faded,1,1,0
letters,3,1,0
mj,1,0,0
connected,2,0,1
powerline,1,0,0
calvin and,2,0,1
who all,1,0,0
all live,1,0,0
live an,1,0,0
an in,1,0,0
in orphanage,1,0,0
orphanage find,1,0,0
find old,1,0,0
old shoes,1,0,0
shoes with,1,0,0
the faded,1,0,0
faded letters,1,0,0
letters mj,1,0,0
mj connected,1,0,0
connected to,1,0,0
a powerline,1,0,0
lightning,1,0,2
one stormy,1,0,0
stormy night,1,1,0
night they,1,0,0
they go,1,0,0
the shoes,2,0,0
shoes when,1,0,0
when calvin,1,0,0
shoes are,1,0,0
are struck,1,0,0
struck by,1,0,0
by lightning,1,0,0
unbelievable,1,2,2
nba,1,2,2
calvin now,1,0,0
has unbelievable,1,0,0
unbelievable basketball,1,0,0
basketball powers,1,0,0
powers and,1,0,0
play for,1,0,0
the nba,1,1,0
enbark,1,0,0
summoning,1,0,0
spirits,1,0,5
ouija,1,1,0
clubbing,1,0,0
british students,1,0,0
students enbark,1,0,0
enbark on,1,0,0
on summoning,1,0,0
summoning spirits,1,0,0
spirits on,1,0,0
a ouija,1,0,0
ouija board,1,0,0
board after,1,0,0
of clubbing,1,0,0
link,1,0,1
finished,1,1,0
demon,1,0,0
banish,1,0,0
summoned,1,0,0
die,2,8,6
but someone,1,0,0
someone breaks,1,0,0
breaks the,1,1,0
the link,1,0,0
link before,1,0,0
have finished,1,0,0
finished and,1,0,0
now a,2,1,0
a demon,1,0,0
demon is,1,0,0
is trapped,1,0,0
trapped in,1,0,0
their world,1,0,0
world and,1,0,2
only way,1,2,0
to banish,1,0,0
banish it,1,0,0
is for,2,2,1
for all,3,5,15
who summoned,1,0,0
summoned it,1,0,0
to die,2,0,0
serves,1,3,4
backdrop,1,1,2
lucre,1,0,0
awkward,1,2,3
moves,4,1,4
renovating,1,0,0
soho,1,0,0
loft,1,0,0
embezzler,1,0,0
sleazy,1,2,0
phone,1,2,1
york serves,1,0,0
serves as,1,2,4
a backdrop,1,0,1
backdrop for,1,0,0
a cast,1,1,1
characters in,1,5,2
love lust,1,0,0
lust or,1,0,0
or lucre,1,0,0
lucre including,1,0,0
including a,1,1,0
who makes,1,0,1
makes awkward,1,0,0
awkward moves,1,0,0
moves on,1,0,0
man renovating,1,0,0
renovating her,1,0,0
her soho,1,0,0
soho loft,1,0,0
loft an,1,0,0
an embezzler,1,0,0
embezzler a,1,0,0
a sleazy,1,0,0
sleazy artist,1,0,0
artist and,1,0,0
a phone,1,0,0
phone psychic,1,0,0
loosely,1,1,0
schnitzler,1,1,0
reigen,1,1,0
liebelei,1,0,0
based loosely,1,0,0
loosely on,1,0,0
on arthur,1,0,0
arthur schnitzler,1,1,0
schnitzler s,1,1,0
s book,1,2,2
book reigen,1,0,0
reigen liebelei,1,0,0
marisa,3,0,0
ventura,1,0,0
bred,2,0,0
boroughs,1,0,0
maid,1,4,3
marisa ventura,1,0,0
ventura lopez,1,0,0
lopez is,1,0,1
single mother,1,0,0
mother born,1,0,0
born and,1,0,0
and bred,1,0,0
bred in,1,0,0
the boroughs,1,0,0
boroughs of,1,0,0
city who,1,0,0
who works,1,0,0
works as,2,0,3
a maid,1,0,0
maid in,1,3,3
a first,1,0,1
first class,1,0,1
class manhattan,1,0,0
manhattan hotel,1,0,0
twist,2,7,5
fate,2,1,1
mistaken,1,0,0
christopher,2,0,3
marshall,1,0,5
fiennes,2,3,1
heir,1,0,0
dynasty,1,0,0
guest,1,1,0
a twist,1,1,0
twist of,1,0,1
of fate,1,0,0
fate and,1,0,0
and mistaken,1,0,0
mistaken identity,1,0,0
identity marisa,1,0,0
marisa meets,1,0,0
meets christopher,1,0,0
christopher marshall,1,0,0
marshall fiennes,1,0,0
fiennes a,1,0,0
handsome heir,1,0,0
heir to,1,0,0
political dynasty,1,0,0
dynasty who,1,0,0
who believes,2,0,0
believes that,1,0,0
a guest,1,0,0
guest at,1,0,0
the hotel,1,0,0
steps,1,0,3
throws,1,3,2
pair,2,1,3
fate steps,1,0,0
steps in,1,0,0
in and,1,2,4
and throws,1,0,0
throws the,1,0,0
the unlikely,1,0,1
unlikely pair,1,0,0
pair together,1,0,0
together for,2,0,0
for one,2,0,4
worlds,2,1,1
apart,3,8,5
separating,1,0,0
subway,1,0,0
when marisa,1,0,0
marisa s,1,0,0
true identity,1,0,0
identity is,1,0,0
revealed the,1,0,0
two find,1,0,0
find that,2,0,3
are worlds,1,0,0
worlds apart,1,0,0
apart even,1,0,0
even though,1,3,4
though the,1,1,6
the distance,1,0,1
distance separating,1,0,0
separating them,1,0,0
them is,2,2,1
is just,3,12,8
a subway,1,0,0
subway ride,1,0,0
ride between,1,0,0
between manhattan,1,0,0
the bronx,1,0,0
delivers,1,5,25
piercing,1,0,1
lifting,1,1,0
metaphorical,1,1,2
smokescreen,1,0,0
clouded,1,0,0
public,1,3,3
view,2,6,4
commenting,1,0,0
dangers,2,1,0
smoking,1,0,0
unleashing,1,0,0
nonstop,1,0,0
litany,1,0,0
raucous,1,2,0
anecdotes,1,0,0
stinging,1,0,0
commentary,1,5,2
reflections,1,0,0
the controversial,1,0,0
controversial bad,1,0,0
of comedy,1,0,1
comedy delivers,1,0,0
delivers a,1,0,6
a piercing,1,0,0
piercing look,1,0,0
look at,2,5,16
at his,1,1,4
life lifting,1,0,0
lifting the,1,1,0
the metaphorical,1,0,0
metaphorical smokescreen,1,0,0
smokescreen that,1,0,0
has clouded,1,0,0
clouded the,1,0,0
the public,1,0,1
public view,1,0,0
view commenting,1,0,0
commenting on,1,0,0
on everything,2,0,0
everything from,3,0,1
the dangers,1,1,0
dangers of,1,1,0
of smoking,1,0,0
smoking to,1,0,0
the trials,1,0,0
trials of,1,0,0
of relationships,1,0,1
relationships and,1,0,1
and unleashing,1,0,0
unleashing a,1,0,0
a nonstop,1,0,0
nonstop litany,1,0,0
litany of,1,0,0
of raucous,1,0,0
raucous anecdotes,1,0,0
anecdotes stinging,1,0,0
stinging social,1,0,0
social commentary,1,2,0
commentary and,1,1,0
and very,1,1,5
very personal,1,0,0
personal reflections,1,0,0
reflections about,1,0,0
about life,1,0,0
averted,1,0,0
intergalactic,1,0,0
proportions,1,1,1
it has,2,13,21
been four,1,0,0
four years,2,0,0
years since,1,1,0
since the,2,1,7
the alien,2,0,0
alien seeking,1,0,0
seeking agents,1,0,0
agents averted,1,0,0
averted an,1,0,0
an intergalactic,1,0,0
intergalactic disaster,1,0,0
disaster of,1,1,0
of epic,1,0,1
epic proportions,1,0,0
kay,2,0,1
returned,2,0,0
comforts,1,0,0
jay,3,5,1
funded,1,0,0
regulates,1,0,0
kay has,1,0,0
has since,1,1,0
since returned,1,0,0
returned to,2,0,0
the comforts,1,0,0
comforts of,1,0,0
of civilian,1,0,0
civilian life,1,0,0
life while,1,0,0
while jay,1,0,0
jay continues,1,0,0
continues to,2,0,3
to work,1,5,1
work for,2,1,0
the men,5,1,1
men in,1,6,3
in black,1,5,2
black the,1,0,0
the highly,1,1,0
highly funded,1,0,0
funded yet,1,0,0
yet unofficial,1,0,0
unofficial government,1,0,0
government agency,1,0,0
agency that,1,0,0
that regulates,1,0,0
regulates all,1,0,0
all things,1,1,0
things alien,1,0,0
alien on,1,0,0
on earth,1,1,0
uncovers,1,0,0
diabolical,1,1,1
masterminded,1,0,0
serleena,1,0,0
kylothian,1,0,0
disguises,1,0,0
sexy,1,2,7
lingerie,1,0,0
model,1,0,1
while investigating,1,0,0
investigating a,1,0,0
a seemingly,1,1,0
seemingly routine,1,0,0
routine crime,1,1,0
crime jay,1,0,0
jay uncovers,1,0,0
uncovers a,1,0,0
a diabolical,1,0,0
diabolical plot,1,0,0
plot masterminded,1,0,0
masterminded by,1,0,0
by serleena,1,0,0
serleena an,1,0,0
evil kylothian,1,0,0
kylothian monster,1,0,0
monster who,1,0,0
who disguises,1,0,0
disguises herself,1,0,0
herself as,1,0,0
a sexy,1,0,0
sexy lingerie,1,0,0
lingerie model,1,0,0
race,3,1,2
clock,1,1,1
convince,1,1,1
spent,1,5,2
expertise,1,0,0
galaxy,2,0,0
reunite,2,0,0
mib,1,3,1
destroyed,1,0,0
completely,2,15,7
a race,1,0,0
race against,1,0,0
the clock,1,0,1
clock as,1,0,0
as jay,1,0,0
jay must,1,0,0
must convince,1,0,0
convince kay,1,0,0
kay who,1,0,0
who not,1,0,0
only has,1,0,0
no memory,1,0,0
memory of,1,0,2
time spent,1,1,0
spent with,1,0,0
agency but,1,0,0
person alive,1,0,0
alive who,1,0,1
the expertise,1,0,0
expertise to,1,0,0
save the,3,2,0
the galaxy,2,0,0
galaxy to,1,0,0
to reunite,2,0,0
reunite with,1,0,0
the mib,1,1,0
mib before,1,0,0
before earth,1,0,0
earth is,1,0,0
is destroyed,1,0,0
destroyed completely,1,0,0
a philip,1,0,0
minority,2,3,5
report,2,10,9
division,4,0,1
department,3,1,1
arrests,1,0,0
killers,1,0,1
commit,1,0,0
crimes,1,10,5
courtesy,1,1,1
viewing,2,3,5
technology,3,2,5
story minority,1,0,0
minority report,2,3,5
report is,1,2,0
cop in,1,0,0
the future,1,3,3
future working,1,0,0
working in,1,0,1
a division,1,0,0
division of,1,0,0
police department,2,0,0
department that,1,0,0
that arrests,1,0,0
arrests killers,1,0,0
killers before,1,0,0
they commit,1,0,0
commit the,1,0,0
the crimes,1,1,0
crimes courtesy,1,0,0
courtesy of,1,1,0
of some,1,2,5
some future,1,0,0
future viewing,1,0,0
viewing technology,1,0,0
cruise,2,0,3
tables,2,0,0
2054,1,0,0
pre,2,2,1
dc,1,0,0
cruise s,1,0,0
s character,2,3,0
character has,1,0,0
the tables,2,0,0
tables turned,1,0,0
turned on,1,0,0
him when,1,0,0
is accused,2,0,0
a future,1,1,0
future crime,1,0,0
crime and,2,0,0
and must,1,0,0
must find,1,0,0
out what,1,2,0
what brought,1,0,0
brought it,1,0,0
it about,1,0,0
about and,1,1,0
and stop,1,1,0
stop it,1,0,0
it before,1,1,0
it can,1,5,7
can happen,1,0,0
happen in,1,0,0
the year,2,13,27
year 2054,1,0,0
2054 a,1,0,0
a so,2,1,0
so called,2,1,0
called pre,1,0,0
pre crime,2,0,0
crime division,1,0,0
division is,1,0,0
is working,1,0,0
working around,1,0,0
around washington,1,0,0
washington dc,1,0,0
precog,3,0,0
nitive,1,0,0
genetically,1,0,0
its purpose,1,0,0
purpose is,1,0,0
to use,4,0,2
the precog,2,0,0
precog nitive,1,0,0
nitive potential,1,0,0
potential of,1,3,0
of three,2,0,0
three genetically,1,0,0
genetically altered,1,0,0
altered humans,1,0,0
humans to,1,0,0
prevent murders,1,0,0
precogs,2,0,0
tank,1,1,2
fluid,1,0,0
names,1,2,1
victim,2,3,1
perpetrator,2,0,0
imagery,1,3,6
cops,2,1,3
happening,3,0,0
the three,2,0,1
three precogs,1,0,0
precogs who,1,0,0
who only,1,0,0
only work,1,0,0
together floating,1,0,0
floating connected,1,0,0
connected in,1,0,0
a tank,1,0,0
tank of,1,0,0
of fluid,1,0,0
fluid have,1,0,0
have a,2,14,11
a vision,1,0,1
vision the,1,0,0
the names,1,0,0
names of,1,0,0
the victim,1,0,0
victim and,2,0,0
the perpetrator,2,0,0
perpetrator as,1,0,0
as video,1,0,0
video imagery,1,0,0
imagery of,1,0,0
the crime,3,1,1
the exact,1,0,0
exact time,1,0,0
time it,1,2,2
it will,2,5,8
will happen,1,0,0
happen are,1,0,0
are given,1,1,0
given out,1,0,0
the special,1,1,3
special cops,1,0,0
cops who,1,0,0
who then,1,0,0
then try,1,0,0
prevent the,1,0,0
crime from,1,0,0
from happening,1,0,0
dilemma,2,1,0
commits,1,0,1
but there,2,11,6
political dilemma,1,0,0
